"","x"
"fotonica",1
"fouten",1
"frankrijk",3
"franstaligen",1
"fraude",17
"fraude<U+2026>",1
"fraudegevoelige",1
"frequentie",1
"fsma",1
"ftitechnopolis",1
"functie",10
"functies",5
"functionaliteit",1
"functioneel",1
"functionele",1
"functioneren",2
"functionerende",1
"fundament",2
"fundamenteel",3
"fundamentele",1
"fundamenten",1
"fusie",1
"fysisch",1
"gaan",38
"gaande",1
"gaandeweg",2
"gaapt",1
"gaat",21
"gaf",1
"gang",1
"garandeert",1
"garanderen",17
"garant",1
"garantie",5
"garanties",3
"gas",2
"gascentrales",1
"gaten",1
"ge<U+00EF>dentificeerde",1
"ge<U+00EF>ndexeerd",1
"ge<U+00EF>nformeerde",1
"ge<U+00EF>nspireerd",1
"ge<U+00EF>nstitutionaliseerde",1
"ge<U+00EF>ntegreerd",9
"ge<U+00EF>ntegreerde",9
"ge<U+00EF>nvesteerd",1
"geactualiseerd",1
"geavanceerde",3
"gebaat",1
"gebaseerd",7
"gebeurd",1
"gebeurde",1
"gebeurden",1
"gebeuren",12
"gebeurt",6
"gebied",3
"gebleken",1
"gebleven",1
"gebonden",1
"geboortecijfer",1
"geboren",1
"gebouwd",2
"gebouwen",3
"gebracht",5
"gebrek",1
"gebruik",13
"gebruik<U+2019>",1
"gebruikelijke",1
"gebruiken",6
"gebruiker",1
"gebruikersorganisaties",1
"gebruiksvriendelijk",1
"gebruikt",1
"gebundeld",1
"gecertificeerde",1
"geco<U+00F6>rdineerde",1
"gecombineerd",1
"gecombineerde",1
"geconcentreerd",1
"geconfronteerd",1
"geconsolideerde",2
"gedaald",4
"gedaan",5
"gedachtengoed",1
"gedane",1
"gedeelde",2
"gedeeltelijk",5
"gedeeltelijke",4
"gedefinieerde",1
"gedijt",2
"gedoopt",1
"gedragen",1
"gedragenheid",1
"gedragsveranderingen",1
"gedrang",1
"gedurende",2
"gedurfde",1
"geduurd",1
"geeft",9
"geenszins",1
"geestelijke",6
"gefailleerden",1
"gefinancierd",4
"gefinancierde",4
"gefnuikt",1
"gegaan",1
"gegeven",1
"gegevens",9
"gegevensdeling",1
"gegevensdelingssystemen",1
"gegevensuitwisseling",4
"geglobaliseerde",3
"gegooid",1
"gehaald",1
"gehad",2
"gehakketak",1
"geharmoniseerd",1
"gehele",1
"gehoord",1
"gehouden",3
"gehuwd",1
"gekenmerkt",1
"gekomen",1
"gekoppeld",4
"gekozen",4
"gekregen",1
"gekwalificeerde",1
"gelanceerd",2
"gelaten",1
"geld",4
"geld<U+2019>index",1
"gelden",4
"geldt",7
"geleerd",1
"gelegd",1
"gelegen",1
"gelegenheden",1
"gelegenheid",1
"gelegenheidsarbeid",2
"gelegenheidspersoneel",2
"geleid",1
"geleidelijk",1
"gelet",2
"geleverde",1
"geliberaliseerde",1
"gelijk",2
"gelijkaardige",2
"gelijke",1
"gelijkstellingen",1
"gelooft",1
"geloofwaardig",1
"geloofwaardigheid",1
"geluidsarm",1
"geluisterd",1
"geluk",1
"gemaakt",6
"gemeenschap",2
"gemeenschappelijk",2
"gemeenschappelijke",8
"gemeenschappen",3
"gemeenschapsbevoegdheden",1
"gemeenschapsleven",1
"gemeenschapsniveau",1
"gemeente",5
"gemeentebesturen",1
"gemeentefonds",1
"gemeenten",9
"gemengde",1
"gemiddeld",6
"gemiddelde",8
"gemotiveerde",1
"gen",2
"geneesmiddelen",4
"geneigd",1
"generaties",8
"genereert",1
"genereren",1
"genererende",1
"genezen",1
"geniet",1
"genieten",1
"genoemd",1
"genomen",3
"gent",6
"genteeklo",1
"gentse",1
"gentzelzate",1
"genuanceerd",1
"genzone",1
"geobjectiveerde",5
"geografisch",1
"geografische",3
"geopend",1
"georganiseerd",1
"geori<U+00EB>nteerd",1
"geothermie",2
"gepaard",6
"gepast",2
"gepaste",1
"gepensioneerde",2
"gepensioneerden",1
"gepersonaliseerd",1
"gepland",1
"geplande",1
"geraakt",1
"geraken",3
"gerealiseerd",5
"geregeld",1
"geregistreerde",2
"gerelateerde",1
"gerenoveerd",2
"gerespecteerd",1
"gericht",10
"gerichte",8
"gesaneerd",1
"geschikt",1
"geschikte",2
"geschoolde",1
"geschoven",1
"geschud",1
"gesco<U+2019>s",1
"gescosysteem",1
"geslaagd",2
"geslaagde",1
"geslagen",1
"gesloten",3
"gespaard",1
"gespecialiseerde",1
"gestegen",2
"gesteld",1
"gestelde",1
"gestemd",1
"gesteund",1
"gestimuleerd",3
"gestoeld",1
"gesubsidieerd",1
"gesubsidieerde",1
"getrapt",1
"getrapte",1
"getroffen",1
"getrokken",1
"gevaarlijke",1
"geval",5
"gevallen",1
"gevels",1
"geven",21
"gevoelig",1
"gevoerd",1
"gevolg",13
"gevolgd",1
"gevolge",1
"gevolgen",5
"gevonden",1
"gevrijwaard",2
"gewaardeerd",1
"gewacht",1
"gewenst",1
"gewerkt",4
"gewerkte",4
"gewest",5
"gewestelijk",2
"gewesten",4
"gewestgrensoverschrijdende",1
"gewestmaterie",1
"gewestwegen",1
"gewichten",1
"gewijzigd",1
"gewoon",1
"geworden",1
"gezaaid",1
"gezamenlijk",1
"gezamenlijke",5
"gezet",2
"gezien",2
"gezin",15
"gezinnen",23
"gezins",1
"gezinsbeleid",11
"gezinsbijslagen",1
"gezinsinkomen",1
"gezinsleven",1
"gezinsondersteunende",2
"gezinsondersteuning",4
"gezinssamenstelling",2
"gezinstoerisme",1
"gezinsverdunning",1
"gezinsvervangende",1
"gezinsvormen",1
"gezinszorg",4
"gezond",5
"gezonde",1
"gezondheid",6
"gezondheids",2
"gezondheidsbeleid",2
"gezondheidsberoepen",1
"gezondheidsdoelstellingen",2
"gezondheidspromotie",1
"gezondheidssector",1
"gezondheidswinst",1
"gezondheidszorg",19
"giften",2
"gijzegem",1
"ging",1
"glijdende",1
"globaal",1
"globale",8
"globalisering",1
"goed",20
"goede",25
"goederen",3
"goederenvervoer",2
"goedgekeurd",1
"goedgekeurde",1
"goedkeurde",1
"goedkope",1
"goedkoper",1
"gouden",1
"graad",2
"graag",3
"grens",1
"grensverleggende",1
"grenzen",4
"grid",5
"grids",1
"grijpen",6
"grijze",1
"groei",94
"groeibevorderend",1
"groeibevorderende",14
"groeieconomie",1
"groeien",5
"groeiland",1
"groeilanden",1
"groeimarkten",1
"groeimogelijkheden",1
"groeinorm",1
"groeipad",3
"groeipool",15
"groeipotentieel",1
"groeiregio",2
"groeit",2
"groeivriendelijk",1
"groen<U+2019>",1
"groenboek",1
"groene",3
"groep",6
"groepen",6
"grond",1
"gronde",1
"grondig",5
"grondige",1
"grondstof",3
"grondstoffen",8
"grondstroom",2
"grondwettelijk",2
"groot",12
"grootste",10
"grote",29
"grotendeels",2
"groter",6
"grotere",12
"gunstig",2
"gunstige",1
"h<U+00E9>t",1
"haalbaar",5
"haalbaarder",1
"haalbaarheid",1
"haalbare",3
"hachelijke",1
"hadden",1
"halen",10
"halle",1
"haltes",1
"halve",1
"hand",6
"handel",8
"handelaars",2
"handelen",1
"handelingen",2
"handels",1
"handelsgegevens",1
"handelskern",1
"handelsmerk",1
"handelspartners",2
"handelssaldo",1
"handelsvestigingen",1
"handen",5
"handhaven",1
"handhaving",2
"handicap",20
"handicapspecifieke",1
"handtekening",1
"hangen",1
"hangt",2
"hanteren",1
"hard",3
"hardleers",1
"harelbeke",1
"harmonieuze",1
"harmoniseren",1
"harmonisering",2
"harmoniseringsoefening",1
"hart",4
"harte",1
"hasselt",1
"hasselt<U+2013>maasmechelen",1
"hasseltneerpelt",2
"haven",3
"havens",4
"heden",1
"hedendaags",1
"heel",14
"heen",3
"heet",1
"hefbomen",6
"hefboom",3
"heffen",1
"heffing",2
"heffingsgrondslag",1
"heft",1
"heil",1
"helaas",1
"heldere",3
"hele",8
"helemaal",3
"helft",2
"helix",1
"helpdesks",1
"helpen",7
"helpt",1
"hen",7
"herbekijken",2
"herbouw",1
"herconditionering",1
"herfstprojecties",1
"hergroepering",1
"herhaling",1
"herijking",1
"herintegratie",1
"herkennen",1
"herkomst",2
"hernieuwbare",11
"heropbouw",1
"heropleving",1
"herscholing",1
"herschreven",1
"herstart",2
"herstelgerichte",1
"herstellen",1
"herverdelen",2
"herverdeling",1
"hervormd",1
"hervormde",2
"hervormen",3
"hervorming",16
"hervormingen",6
"herwonnen",1
"herzele",1
"herzien",3
"herziening",1
"hetzelfde",3
"hetzij",2
"hiaten",1
"hidden",2
"hierbij",4
"hierboven",1
"hiermee",5
"hierover",1
"hiertoe",1
"hiervoor",7
"high",1
"hinder",1
"hindernissen",1
"hinderpalen",1
"hinterland",1
"historisch",1
"ho<U+00E9>",1
"hoeft",1
"hoeksteen",3
"hoeveelheden",1
"hoeveelheid",1
"hoewel",1
"hof",1
"hoge",11
"hoger",27
"hogere",6
"hogergeschoolden",1
"hogescholen",4
"holdings",1
"honderd",1
"hong",1
"honoraria",1
"hoofd",2
"hoofdspoorassen",1
"hoofdstad",3
"hoofdstedelijk",2
"hoog",6
"hoogopgeleide",1
"hoogspanningslijnen",1
"hoogst",1
"hoogste",1
"hoogte",2
"hoogtechnologische",2
"hoogwaardige",2
"hoopvolle",1
"hoort",1
"hopen",1
"horeca",10
"horecabeleid",1
"horecabeleidsplannen",1
"horecaondernemingen",1
"horecauitbaters",1
"horen",1
"horende",1
"horizontale",1
"houdbaar",1
"houdbaarheid",1
"houdbare",1
"houden",31
"houdend",2
"houdt",6
"hrmbeleid",3
"huidige",18
"huis",3
"huisarts",1
"huishoudelijke",1
"huishouden",1
"huishoudens",1
"huishouding",1
"huisvesting",3
"hulp",8
"hulpmiddel",1
"hulpmiddelen",4
"hulpverleners",1
"hulpverlening",1
"huren",1
"huur",1
"huuren",1
"huurpremie",1
"huurwoningen",1
"ict",1
"ictuitrusting",1
"ideale",2
"idee",2
"identificatie",1
"identificatiesoftware",1
"ieder",3
"iedere",6
"iedereen",12
"igo",1
"ijkingsproeven",1
"ijverige",1
"ijvert",1
"ijzeren",2
"imec",1
"imf",3
"immers",4
"impact",13
"impliceert",1
"inbedding",1
"inbreidingsprojecten",1
"inbreng",3
"incentives",1
"inclusie",3
"indeling",1
"index",2
"indexmechanisme",1
"indicatiestelling",1
"indicatoren",1
"indicatorleerlingen",1
"indien",2
"indieningstermijn",1
"indirecte",4
"individueel",1
"individuele",6
"indrukwekkende",2
"industri<U+00EB>le",8
"industrie",11
"industrie<U+00EB>n",1
"industrieel",7
"inflatie",6
"inflatiedoelstelling",1
"infoloket",1
"informatie",38
"informatie<U+2019>",1
"informatiebeleid",1
"informatiemaatschappij",1
"informatieportaal",1
"informatieveiligheid",1
"informatieverstrekking",2
"informatisering",1
"informeren",1
"infrabel",1
"infrastructuur",14
"infrastructuurkosten",1
"infrastructuurprojecten",1
"infrastructuurwerken",2
"infrax",1
"ingang",1
"ingebed",2
"ingekort",1
"ingelost",1
"ingeslagen",1
"ingevoerd",3
"ingevuld",1
"ingewikkelde",1
"ingezet",1
"ingreep",2
"ingrepen",3
"ingrijpende",1
"inhaalbeweging",1
"inhoud",4
"initiatief",3
"initiatieven",11
"inkantelling",1
"inkomen",7
"inkomens",4
"inkomensgarantie",1
"inkomensgerelateerde",6
"inkomenssituatie",1
"inkomensvervangende",1
"inkomsten",1
"inkomstenbelastingstelsel",1
"inkorten",1
"inkorting",1
"innemen",2
"innovatie",29
"innovatiebeleid",5
"innovatiecentra",1
"innovatieclusters",1
"innovatief",2
"innovatieinfrastructuur",1
"innovaties",6
"innovatiesteun",1
"innovatieve",30
"innoverende",1
"inperken",1
"inputfactor",1
"inrichten",1
"inschakelen",1
"inschakeling",2
"inschakelingsvergoeding",1
"inschaling",1
"inschalingsinstrumenten",1
"inschat",1
"inschatten",2
"inschattingen",1
"inschrijving",1
"insluiting",1
"inspanning",5
"inspanningen",3
"inspectie",1
"inspectiediensten",2
"inspelen",1
"inspireert",1
"inspireren",1
"instaan",1
"installaties",1
"installeren",1
"instantie",2
"instanties",2
"instellingbesturen",1
"institutioneel",1
"instituut",3
"instroom",2
"instroombeperking",1
"instroomt",1
"instrument",10
"instrumentarium",2
"instrumenten",8
"intact",1
"integendeel",2
"integraal",6
"integrale",7
"integrated",1
"integratie",5
"integratietegemoetkoming",1
"integreren",5
"intellectuele",2
"intelligent",1
"intelligente",4
"intensere",2
"intensief",1
"intensieve",4
"intensifi<U+00EB>ren",1
"intensiteit",2
"interactief",1
"interactieve",1
"interconnectie",1
"interessant",1
"interesses",1
"interest",1
"interestaftrek",2
"intermediairen",1
"intermodaal",1
"internaliseren",1
"internatio",1
"internationaal",8
"internationale",10
"internationaliseren",1
"internationaliseringsstrategie",1
"interne",4
"interprofessioneel",2
"intersectorale",1
"intrestaftrek",2
"intussen",4
"invaliditeit",1
"inventaris",1
"inverkeerstelling",1
"investeerden",1
"investeerder",2
"investeerders",5
"investeert",2
"investeren",59
"investering",2
"investeringen",29
"investeringsbedrag",1
"investeringsbeleid",1
"investeringsbeslissing",1
"investeringsgoederen",2
"investeringsinspanning",1
"investeringsinstrumenten",1
"investeringsklimaat",1
"investeringsmechaniek",1
"investeringsplan",1
"investeringspotentieel",1
"investeringsprojecten",8
"investeringsritme",1
"investeringssteun",1
"investeringstoelage",1
"investment",6
"invoer",1
"invoeren",4
"invoering",4
"invoert",1
"invorderings",1
"invullen",1
"invulling",1
"inwoners",3
"inzake",3
"inzet",4
"inzetten",3
"inzicht",1
"ipv",2
"its",1
"iwt",3
"jaar",38
"jaarbasis",1
"jaarlijks",2
"jaarlijkse",4
"jaarplafond",1
"jagen",1
"januari",1
"jaren",25
"jarenlang",1
"jarigen",1
"jette",2
"jeugd",8
"jeugdbeleid",1
"jeugdgarantie",1
"jeugdhulp",4
"jeugdinfrastructuur",1
"jeugdlokalen",1
"jeugdsanctierecht",1
"jeugdtoerisme",1
"jeugdverblijfsinfrastructuur",1
"jeugdverenigingen",1
"jeugdwerkloosheid",3
"jeugdzorg",1
"job",4
"jobaanbod",1
"jobs",5
"jobsplitsing",1
"jobstudenten",1
"jonge",10
"jonger",1
"jongeren",16
"jongerenwerkloosheid",2
"jongste",2
"jongvolwassenen",1
"juist",1
"juiste",3
"juistere",1
"juli",1
"justiti<U+00EB>le",1
"justitie",7
"justitiehuizen",1
"k<U+00F9>nnen",1
"kaaimuren",1
"kaart",1
"kaarten",1
"kabels",1
"kadaster",1
"kader",14
"kalenderjaar",1
"kandidaat",1
"kandidaatstarters",1
"kankerscreening",1
"kans",6
"kansarme",1
"kansarmen",1
"kansen",19
"kansengroepen",6
"kant",2
"kanttekening",1
"kapitaal",18
"kaprijke",1
"kar",1
"kassa",2
"kavels",1
"kazerne",1
"keel",1
"keer",1
"keert",1
"kempense",1
"kenmerken",1
"kennen",5
"kennis",8
"kenniscentra",5
"kenniscentrum",2
"kennisdiffusie",1
"kenniseconomie",1
"kennisgedreven",2
"kennisinstellingen",5
"kennismakingen",1
"kennisnetwerk",1
"kent",2
"keren",1
"kern",1
"kernen",1
"kerntaken",1
"kernthema",1
"kernuitstap",1
"kernversterking",1
"ket<U+2019>s",1
"ketenmobiliteit",5
"keurde",1
"keuze",8
"keuzegedrag",1
"keuzes",7
"key",1
"kiemen",1
"kiest",2
"kiezen",11
"kiezer",1
"kijf",1
"kijken",2
"kilometer",2
"kilometerheffing",3
"kind",9
"kinderarmoede",1
"kinderbijslag",11
"kinderbijslag<U+2026>",1
"kinderbijslagkassen",1
"kinderen",21
"kinderopvang",23
"kinderopvangvoorzieningen",1
"kindertijd",1
"klaar",1
"klant",3
"klantenkaarten",1
"klantgericht",1
"klantvriendelijke",1
"klas",2
"klassen",1
"klassieke",1
"klaverblad",1
"klein",3
"kleine",7
"kleiner",1
"kleinere",2
"kleinhandel",1
"kleinhandelaars",1
"kleinkinderen",1
"kleinschalige",1
"kleinsten",1
"kleuter",3
"kleuteronderwijs",1
"klimaat",6
"klimaatbeleid",1
"klimaatbeleidsplan",2
"klimaatdebat",1
"klimaatdoelstellingen",3
"klimaatopwarming",1
"klimaatuitdagingen",1
"klimaatveranderingen",2
"klimaatvriendelijk",1
"klinisch",1
"kloof",2
"kmo<U+2019>s",23
"kmoexportmanagers",1
"kmogerichter",1
"kmoleningen",1
"kmomarkt",1
"kmoportefeuille",1
"kmska",1
"knelpuntberoepen",1
"knelpuntdisciplines",1
"koesteren",1
"koks",1
"koksijdeveurne",1
"komen",24
"komende",14
"komt",19
"kong",1
"kontich",1
"koolstofvoetafdruk",1
"koop",1
"koopkracht",2
"koopstromen",1
"koopwoningen",1
"koploper",2
"koppelen",2
"koppeling",3
"koppeloton",1
"kordaat",1
"korpsen",1
"kort",3
"korte",6
"kortere",1
"kortom",4
"kortrijk",2
"kost",2
"koste",5
"kosteloos",3
"kosten",18
"kostenbesparingen",1
"kostendrijvers",2
"kosteneffectieve",1
"kosteneffici<U+00EB>nt",1
"kosteneffici<U+00EB>nte",1
"kostenverlagend",1
"kostprijs",6
"kracht",6
"krachtdadige",1
"krachten",2
"krachtig",4
"krachtige",1
"krachtigste",1
"krappere",1
"krediet",1
"kredietbemiddeling",1
"kredieten",5
"kredietgevers",1
"kredietverschaffers",1
"kredietverstrekking",1
"kregen",3
"krijgen",22
"krijgt",9
"krimp",2
"krimpend",1
"kringloopeconomie",1
"kringlopen",3
"kringwerkingen",1
"kris",3
"kritieke",1
"kritische",1
"krook",1
"kruising",2
"kruispunt",2
"kruispuntbank",1
"kruissnelheid",1
"kunstenaars",1
"kunstgrasvelden",1
"kunstonderwijs",3
"kunststeden",1
"kunt",2
"kust",3
"kusttram",1
"kusttramtraject",1
"kustveiligheidsplan",1
"kwade",1
"kwalificatie",2
"kwalificaties",3
"kwalitateitsvolle",1
"kwalitatieve",10
"kwaliteit",17
"kwaliteitsbewaking",2
"kwaliteitsdenken",2
"kwaliteitsindicatoren",1
"kwaliteitslat",1
"kwaliteitsniveau",2
"kwaliteitsnormen",2
"kwaliteitsverschillen",1
"kwaliteitsvol",11
"kwaliteitsvolle",24
"kwaliteitszorg",1
"kwam",3
"kwetsbare",2
"kyotonorm",1
"laad",1
"laag",3
"laagdrempelige",2
"laaggeschoolden",3
"laagste",1
"laarbeekbos",1
"laat",11
"laatste",5
"laden",1
"lage",3
"lagen",1
"lager",4
"lagere",8
"land",12
"landbouw",5
"landbouwbedrijven",1
"landbouwers",1
"landbouwinvesteringsfonds",1
"landbouwmarkten",1
"landbouwsector",2
"landen",8
"lang",5
"langdurig",3
"langdurige",4
"lange",8
"langer",5
"langere",13
"langetermijnbeleid",1
"langetermijneffecten",1
"langetermijnplan",1
"langetermijnvisie",2
"langlopend",1
"langs",3
"language",1
"lasten",15
"lastenverlaging",4
"lastenverlagingen",1
"lastenverschuiving",1
"lat",2
"laten",30
"later",2
"laties",1
"lead",1
"learn",1
"learning",4
"led<U+2019>s",1
"leden",1
"leefervaringen",1
"leefloners",2
"leefloon",2
"leefmilieu",7
"leefomgeving",17
"leefproces",1
"leefsituaties",1
"leeft",2
"leeftijd",7
"leeftijdsgebonden",1
"leeftijdsgrens",1
"leeftijdsgroep",1
"leeftijdsgroepen",1
"leeftijdsonafhankelijk",1
"leeftijdsvoorwaarde",1
"leegstand",2
"leer",3
"leerkracht",2
"leerkrachten",19
"leerkrachtenteams",1
"leerlijn",2
"leerling",8
"leerlingen",23
"leerlingenaantallen",1
"leerlingenbegeleiding",2
"leerlingenkenmerken",1
"leerlingenmobiliteit",1
"leerlingenwezen",1
"leerlingwezen",1
"leerplicht",1
"leerplichtonderwijs",2
"leerroutes",1
"leert",1
"leertijd",1
"leertrajecten",2
"leerwinst",1
"leest",2
"leggen",11
"legislatuur",17
"legt",1
"leiden",15
"leiding",1
"leidingen",1
"leidmotief",1
"leidt",10
"lembeke",1
"lenigen",1
"leningen",2
"leraar",1
"leraars",4
"lerarenopleiding",2
"lerarentekort",1
"leren",16
"les",3
"lesopdracht",1
"leuk",1
"leuven",3
"leven",19
"levensbreed",1
"levenscyclus",1
"levensduurte",1
"levensfasen",1
"levensgemeenschap",1
"levenskwaliteit",3
"levenslang",3
"levensstandaard",1
"levensverwachting",3
"leveranciers",1
"leverde",1
"leverden",1
"leveren",5
"levert",6
"liberaliteiten",1
"lichamelijke",2
"licht",2
"lichte",1
"lidmaatschap",1
"lidstaten",5
"liggen",3
"ligging",2
"ligt",7
"lijn",11
"lijst",1
"limburg",4
"liquiditeit",1
"lisme",1
"lissabon",1
"livan",1
"live",1
"locatie",1
"logica",1
"logies",1
"logisch",2
"logistiek",1
"logistieke",5
"lokaal",9
"lokale",38
"loket",2
"loketten",2
"lommel",1
"lonen",5
"loon",3
"loonkost",1
"loonkosten",1
"loonkostenhandicap",4
"loonlastenverlagingen",1
"loonnorm",1
"loononderhandelingen",2
"loonsonderhandelingen",1
"loonstijgingen",1
"loonsverhogingen",2
"loont",6
"loonvorming",1
"loopbaan",9
"loopbaanbegeleiding",1
"loopbaanjaren",1
"loopbaankeuzes",1
"loopbanen",10
"loopt",1
"lopen",2
"lopende",2
"los",1
"losmaterieel",1
"lossen",1
"lot",1
"louter",1
"lucht",1
"lucht<U+2013>",1
"luchthaven",1
"luchthavens",1
"luchtkwaliteit",1
"luchtkwaliteitsplan",1
"luchtvervuiling",1
"luik",8
"luiken",2
"luisteren",1
"lukken",1
"lummen",1
"luxe",1
"luxemburg",2
"maakindustrie",2
"maakt",13
"maakten",2
"maand",3
"maanden",3
"maastricht",1
"maat",11
"maatregel",2
"maatregelen",37
"maatschappelijk",4
"maatschappelijke",17
"maatwerk",2
"machinebouw",1
"macht",1
"macro",1
"mag",10
"maken",78
"maldegem",1
"managers",1
"manier",18
"manieren",1
"mannen",1
"mantel",1
"mantelzorg",1
"mantelzorger",1
"mantelzorgers",4
"marge",2
"maritieme",4
"marketing",1
"markt",6
"marktaandeel",1
"markten",4
"marktfinanciering",1
"marktleider",1
"marktspelers",1
"marktwerking",1
"massa",1
"massaproductie",2
"masterplan",4
"matcht",1
"mate",8
"materiaal",2
"materiaalintensieve",1
"materiaalkringlopen",2
"materialen",5
"materialenbeheer",1
"materialenbeleid",3
"materialendecreet",1
"materialenprogramma",2
"materies",1
"mathemathics",1
"matthe<U+00FC>seffect",1
"matuur",2
"maximaal",4
"maximale",3
"maximaliseren",1
"maximum",2
"maximumfactuur",2
"meandert",1
"mechanismen",1
"mede",1
"medebeheer",2
"mededingingsautoriteiten",1
"medewerking",1
"media",1
"medicopsychologische",1
"medisch",7
"medische",9
"mee",17
"meebetalen",2
"meebouwt",1
"meebrengen",1
"meebrengt",2
"meegerekend",1
"meerjarenbegroting",4
"meerjarenbegrotingen",1
"meerjareninvesteringsplan",2
"meerkosten",2
"meerontvangsten",1
"meeropbrengst",1
"meervoudig",1
"meerwaarde",5
"meerwaardenvrijstelling",1
"meest",15
"meestal",2
"meeste",3
"mei",1
"meisjes",1
"mekaars",1
"mening",1
"mens",7
"menselijk",11
"mensen",64
"menswaardig",3
"mes",1
"meso",1
"meteen",3
"meten",1
"meter",2
"methodiek",1
"methodieken",1
"metro",1
"metronet",1
"metronoord",1
"micro",2
"microkredieten",1
"middel",5
"middelen",19
"middelengebruik",1
"middelmaat",2
"midden",2
"middenmaat",1
"middenveld",2
"migratie",4
"migraties",1
"mikken",1
"milderen",1
"milieu",8
"milieubelastingen",4
"milieubeleid",1
"milieuen",2
"milieuprestaties",1
"miljard",24
"miljoen",17
"min",1
"minder",21
"minderheden",1
"minderjarigen",1
"minderuitgave",1
"mindset",1
"minima",2
"minimum",4
"minimumleeftijd",1
"minimumpensioen",1
"minister",1
"ministerpresident",1
"ministerraden",1
"ministers",2
"minste",1
"minstens",6
"misdrijf",1
"misschien",1
"missies",1
"mits",1
"mivb",1
"mivbbeheerscontract",1
"mo<U+00E9>t",1
"mobiele",3
"mobiliteit",40
"mobiliteitsbeleid",1
"mobiliteitsbewustzijn",1
"mobiliteitsbudget",4
"mobiliteitshulpmiddelen",1
"mobiliteitshulpmiddelenbeleid",1
"mobiliteitsimpact",1
"mobiliteitskansen",1
"mobiliteitskeuzes",1
"mobiliteitsknooppunten",1
"mobiliteitskosten",1
"mobiliteitsnetwerk",1
"mobiliteitsoplossingen",1
"mobiliteitsplan",1
"mobiliteitssysteem",1
"modale",2
"model",13
"modellen",1
"modern",13
"moderne",6
"modernisering",1
"modi",1
"moed",2
"moeder",1
"moeders",1
"moedigen",6
"moedigt",1
"moeilijk",3
"moeilijke",5
"moeilijker",2
"moeilijkheden",1
"moeite",1
"moeten",108
"mogelijk",47
"mogelijke",3
"mogelijkheden",10
"mogelijkheid",6
"mogen",9
"molhassel",1
"moment",6
"momenteel",4
"momentum",5
"mondiale",2
"monitoring",2
"monumenten",1
"mooie",3
"morele",2
"morgen",9
"mortsel",1
"motivatie",1
"motor",1
"motto",1
"multidisciplinair",1
"multidisciplinaire",1
"multifunctioneel",1
"multifunctionele",2
"multimodale",1
"multimodaliteit",1
"multinationale",1
"multiplicatoreffect",1
"muren",1
"naadloos",1
"naadloze",1
"naargelang",2
"naarmate",2
"naast",10
"nabij",1
"nabijheid",3
"nadat",1
"nadien",1
"nadruk",6
"nadrukkelijk",2
"nagaan",4
"nale",1
"nam",3
"namelijk",1
"nanoelektronica",1
"nanotechnologie",2
"nastreven",2
"nationale",3
"natraject",1
"natuur",2
"natuurlijk",5
"natuurlijke",7
"natuurwaarden",1
"nauw",1
"nauwe",1
"nauwelijks",1
"nauwgezet",1
"nauwkeurige",1
"nauwst",1
"nederland",5
"nederlanders",1
"nederlands",4
"nederlandse",2
"nederlandstaligen",1
"neemt",7
"neer",2
"neerpelt",1
"negatief",1
"negatieve",2
"nemen",35
"nemo",1
"nergens",1
"net",5
"netbeheerders",1
"netto",3
"nettoinkomen",1
"nettoloon",2
"netwek",1
"netwerk",18
"netwerkeconomie",1
"netwerken",24
"netwerking",2
"netwerkstructuren",1
"nevenkosten",1
"ngo<U+2019>s",1
"ni<U+00E9>t",4
"niche",1
"niches",1
"niemand",1
"nietarbeidsgebonden",1
"nietenergiegebonden",1
"nieteuropese",1
"nietgericht",1
"nietindividualiseerbare",1
"nietloonkredieten",1
"nietobjectiveerbare",1
"nietrechtstreeks",1
"niettemin",1
"nieuw",10
"nieuwbouw",1
"nieuwe",83
"nieuwigheid",1
"nieuwsoortig",1
"nieuwste",1
"nijvel",1
"nijverheidstechnische",1
"niveau",30
"niveaus",4
"nmbs",3
"nmbs<U+2019>",1
"nmbsgroep",1
"noch",2
"nochtans",2
"noden",11
"nodig",41
"nodige",1
"noemen",2
"nomenclatuur",1
"nominale",1
"nood",17
"noodzaak",2
"noodzaakt",1
"noodzakelijk",8
"noodzakelijke",9
"nooit",6
"noopt",1
"noordelijke",1
"noorden",1
"noordstation",1
"noordzuidverbinding",2
"norm",2
"normen",1
"notionele",4
"november",3
"nuance",1
"nul",2
"nulgroei",2
"nulmeting",1
"nultolerantie",1
"nutsbedrijven",1
"nutslei",1
"nuttig",1
"objectief",2
"objectieve",1
"objectieven",2
"objectiveerbare",1
"objectiveren",1
"obligaties",1
"ocmw",1
"ocmw<U+2019>s",2
"octrooiinkomsten",1
"oedingssector",1
"oefenen",1
"oefening",1
"oeso",5
"offshore",1
"offshorewindmolenparken",1
"ogen",4
"ogenblikken",1
"ombouw",3
"ombouwen",1
"omdoet",1
"omgaan",4
"omgekeerd",1
"omgeving",6
"omgevingen",1
"omgevingsvergunning",4
"omgevingsvergunningendecreet",1
"omgezet",2
"omleiding",3
"omleidingen",2
"omschreven",1
"omslag",1
"omspringen",1
"omstandigheden",1
"omvang",3
"omvat",3
"omvattend",1
"omvormen",2
"omvorming",1
"omwenteling",4
"omwille",3
"omzetten",3
"onafhankelijke",2
"ondanks",3
"onderbouw",4
"onderbouwd",1
"onderbreken",1
"onderbreking",1
"onderbrengen",1
"onderdeel",6
